strategy,leverage,total_return,annual_return,annual_volatility,sharpe,max_drawdown,trades,expense_ratio
top2_relative_strength_rotation_2.0x_etf,2.0,148.31353756009767,0.26519635771942274,0.30928952451246733,0.7604407491335584,-0.4912453397339976,1706,0.0095
top2_relative_strength_rotation_3.0x_etf,3.0,929.3896047979487,0.3787752586745168,0.46393486982682997,0.7517763405124126,-0.6622381860364086,1706,0.0095
regime_defensive_rotation_3.0x_etf,3.0,448.78979759891837,0.33248176759636205,0.40241509319213936,0.7516660600300531,-0.644033483183885,714,0.0095
regime_defensive_rotation_2.0x_etf,2.0,79.99450502912859,0.2293504482162163,0.26827662260606616,0.7430779703416047,-0.48033739675799525,714,0.0095
top2_relative_strength_rotation,1.0,16.38901119003308,0.1436122862935829,0.15464535154920722,0.7346634422272444,-0.2658579926405824,1706,0.0
regime_defensive_rotation,1.0,11.060041874025881,0.12411591065211458,0.13413847262208634,0.7016324907565564,-0.2599437817238497,714,0.0
dual_momentum_rotation,1.0,9.493318426577035,0.11678942250307456,0.20906063745432957,0.4151399496331976,-0.5138479724404577,998,0.0
dual_momentum_rotation_2.0x_etf,2.0,34.25152900907313,0.18222398507500182,0.41812118352028665,0.3640666655379256,-0.8013848850090964,998,0.0095
dual_momentum_rotation_3.0x_etf,3.0,54.60298392286092,0.2078131717671421,0.627181820422938,0.28351136142185107,-0.9306071104782805,998,0.0095
